region,county,description
mississippi,Tremealeau,"Trempealeau County is the M ississippi River... and
a w hole lot more.
The city of Trempealeau is the county’s only
municipality on the river. From an observation plat-
form on the M ississippi, you can w atch the river
traffic “ lock-through” at Lock & Dam No. 6. Just
w est of tow n, Perrot State Park offers 1,270-
acres of fun (608/534-6409, w w w.w iparks.net).
Choose from 98 campsites, hike 15 miles of trail,
fish the M ississippi, or climb 500-foot Brady’s Bluff. Just w est of
Perrot, the Trempealeau National Wildlife Refuge spraw ls
across 5,000 acres along the river’s backw aters (608/539-2311,
w w w.fw s.gov/midw est/trempealeau).
Just north of the river, apple orchards lovely in spring blos-
som surround Galesville. Along the county’s w estern border,
Arcadia is the home of the Ashley Furniture Company, w hose
ow ner financed the city’s M emorial Park. The park’s “ Avenue
of Heroes Walk” is an impressive 54-acre tribute to American
veterans w ith statues and memorials to each of our nation’s
w ars, including the 9/11 tragedy.
Whitehall, in the center of the county, is the county seat.
The city boasts a central square complete w ith old-fashioned
gazebo, a golf course, and aquatic center. Osseo, in the north-
eastern corner of the county, is famous as the original home of
the Norske Nook, famous for its mouth-w atering pies."
mississippi,Vernon,"Vernon County is the heart of southw estern
W isconsin’s “ Coulee Country,” a region famous
throughout the M idw est for its excellent trout
fishing. Fish more than 200 miles of cold-w ater
trout streams in a truly pastoral landscape.
Along the M ississippi River, Desoto in the
southw estern corner of the county is the home of
Blackhaw k Park & Recreation Area, one of the
largest campgrounds on the river w ith 150 camp-
sites (608/623-2707). Further north near Genoa, you can w atch
as river traffic passes through Lock & Dam No. 8.
Inland, Westby is a community that regularly celebrates its
deep Norw egian roots. Dow ntow n, visit Ocooch M ountain
Acres, an organic maple syrup and candy maker w ith a tasty
product (800/253-3997, w w w.ocoochmountainacres.com).
Viroqua, the county seat, offers an 18-hole golf course, a $3
million indoor pool and aquatics center, and a dow ntow n mix of
specialty shops and anchor businesses.
The Kickapoo River snakes through eastern Vernon County.
It’s a favorite w ith canoeists. You’ll find several outfitters in
Ontario. Wildcat M ountain State Park offers thirty campsites
and a terrific overlook of the river valley (608/337-4775,
w w w.w iparks.net). The Kickapoo Valley Reserve is an 8,569-
acre recreation area w ith camping, canoeing, horseback riding
trails, and a brand-new visitor’s center ready to help you
(608/625-2960, http:kvr.state.w i.us)"
lake-michigan,Brown,"Brow n County frames the south end of the bay of
Green Bay. The Fox River transects the county, bisecting
the City of Green Bay at the mouth of the river. This is
an historic spot, w here the first European – Jean Nicolet
– stepped ashore in 1634.
Green Bay is perhaps best know n as the home of
the Green Bay Packers w hose legendary past can be cel-
ebrated at the Green Bay Packer Hall of Fame at
Lambeau Field (888/442-7225, w w w.packers.com).
Railroad enthusiasts w ill w ant to tour the National
Railroad M useum, the country’s oldest and largest, exhibiting more
than 70 pieces of rolling stock including the Dw ight D. Eisenhow er
engine and staff cars (920/437-7623, w w w.nationalrrmuseum.org).
Dow ntow n the Neville Public M useum displays tw o floors of
regional history and art (920/448-4460,
w w w.nevillepublicmuseum.org). Nearby, Heritage Hill State Park
interprets four eras of regional history from 1672-1905 using tw enty-
five historic buildings gathered from Brow n County (800/721-5150,
w w w.heritagehillgb.org). If you’ve brought the kids, head to Bay
Beach Amusement Park w here they can enjoy dozens of inexpen-
sive carnival rides and play areas (920/448-3365, w w w.greenbay.com)
South of tow n, Oneida Bingo & Casino offers blackjack and
crap tables, bingo and slots (800/238-4263, w w w.oneidabingoand-
casino.net). Nearby, the Oneida Nation M useum displays a large col-
lection of Oneida artifacts (920/869-2768, w w w.oneidanation.org)."
lake-michigan,Door,"W ith more state parks (five), lighthouses (ten), and
miles of shoreline (250) than any other county in the
country, this 75-mile-long peninsula combines pristine
scenery w ith acclaimed performing arts, renow ned gal-
leries and shops, and pampering accommodations.
The county is equally famous for its cuisine. The
Door County fish boil is legendary; w hitefish fresh
from Lake M ichigan, potatoes and onions boiled to a
fiery climax. Look for it throughout the peninsula.
In Sturgeon Bay, the county seat, tour the Door County
M aritime M useum w hose 20,000 square feet of exhibit space cele-
brates the county’s nautical past including its shipbuilding industry
and its many lighthouses (920/743-5958, w w w.dcmm.org).
Dow ntow n the M iller Art M useum celebrates W isconsin artists,
staging seven changing exhibits each year (920/746-0707,
w w w.doorcountyarts.com).
In Fish Creek, Peninsula Players Theatre is America’s oldest resi-
dent professional summer theater (920/868-3287, w w w.peninsu-
laplayers.com). Since 1935 more than 500 plays have been performed
in their beautiful “ theater in a garden.” For a different sort of per-
formance, try a double-feature at the Skyw ay Drive-In Theater, one
of tw o left in the state (920/854-9938).
At the tip of the Door County “ thumb” is Gills Rock, home of the
Washington Island Ferry Line offering daily carferry and passenger
service to Washington Island (800/223-3094, w w w.w isferry.com). The
island’s ancestry is predominantly Finnish. Local history along w ith
Indian artifacts is displayed in an original log cabin at Jacobsen’s
M useum (920/847-2213."
lake-michigan,Kenosha,"Located in the far southeastern corner of W isconsin,
Kenosha County is the home of one of the state’s ten
Wisconsin Welcome Centers. Located on I-94 at exit
347, the Center is a great place to stop for free maps,
travel brochures and advice.
The county seat is the City of Kenosha w ith many
recreational and cultural pursuits. Sample the historic
character of this 156-year-old community aboard the
Kenosha Transit Electric Streetcar (262/653-4287,
w w w.kenoshacvb.com). The authentic streetcars travel a 2-mile loop
through the city’s four historic districts, the new lakefront park and
marina. The new Kenosha Public M useum houses the famous
Schaefer and Hebior M ammoth exhibit (262/653-4140,
w w w.kenoshapublicmuseum.org). The Kenosha History Center dis-
plays local history including the manufacture of Nash and Rambler
automobiles in Kenosha and tours of the restored Southport Light
Station (262/654-5770, w w w.kenoshahistorycenter.org).
Kids of all ages w ill love a tour of the Jelly Belly Center in near-
by Pleasant Prairie (866/868-7522, w w w.jellybelly.com). Enjoy a ride
dow n Candy Alley in the Jelly Belly Train and complimentary beans.
Shoppers w ill be tempted by the many bargains at Prime Outlets at
Pleasant Prairie (262/857-2101, w w w.primeoutlets.com) and at The
Original Outlet M all in nearby Bristol (262/857-7961, w w w.origi-
naloutletmall.com). Bristol is also the home of the Bristol
Renaissance Faire held early-July thru Labor Day (847-395-7773,
w w w.renfair.com)."
lake-michigan,Kewaunee,"Kew aunee County is steeped in maritime tradition. The
Lake M ichigan port cities of Kew aunee and Algoma are
both accented by breakw ater piers and impressive light-
houses. Both are home ports to large sportfishing
fleets; charter a boat for some of the finest lake trout
and salmon fishing on the Great Lakes.
Algoma is a trailhead on the Ahnapee State Trail,
a 30-mile multi-use railbed trail betw een Casco and
Sturgeon Bay (920/746-9959, w w w.w iparks.net). A
stroll through the city’s dow ntow n along the south
shore of the Ahnapee River is highlighted by the von Stiehl Winery
(800/955-5208, w w w.vonstiehl.com). Von Stiehl bottles thirty vari-
etals, including several made from locally grow n cherries. Tour the
w inery and enjoy their Bohemian tasting salon.
Eleven miles south, Kew aunee’s M arquette Historic District
includes forty homes and businesses on the National Register of
Historic Places. The Kew aunee County Historical M useum and
Old Jail is located in the courthouse (920/388-7176). In the harbor,
the nautically inclined can tour The Tugboat Ludington, a 115-foot
WWII sea-going tug that served in the D-Day invasion (920/388-5000,
w w w.kew aunee.org).
West of tow n, along the Kew aunee River, the county’s Winter
Park is a great place for mountain biking in the summer and skiing in
the w inter (800/666-8214). Nearby, the W isconsin DNR operates the
Besadny Anadromous Fish Facility (920/388-1025). From mid-
September through October, trout and salmon run up the river to
spaw n. Special “ fish ladders” and observation w indow s at the facility
allow you to w atch the fish fight their w ay upstream."
lake-michigan,Manitowoc,"Founded in the 1830s, both Tw o Rivers and M anitow oc
have a storied maritime past. Both began as commer-
cial fishing and shipbuilding centers. Both today boast
large and active sportfishing charter fleets.
Tw o Rivers takes pride in being the birthplace of
the ice cream sundae – invented here in 1881. For a
taste of that frozen confection, stop dow ntow n at the
Historic Washington House – part museum, part visi-
tors’ center, and part old-fashioned soda fountain
(920/793-2490). The City’s commercial fishing heritage
is enshrined at the Historic Rogers Street Fishing Village M useum
that features an 1886 lighthouse and a shipw reck exhibit (920/793-
5905, w w w.rogersstreet.com). North of the city, Point Beach State
Forest preserves five miles of lakeshore beaches w ith 127 campsites
and 12 miles of hiking trails (920/794-7490, w w w.w iparks.net).
M anitow oc is home to the Wisconsin M aritime M useum, the
largest maritime museum on the Great Lakes (866/724-2356,
w w w.w isconsinmaritime.org). The museum displays everything from
w ooden sailing ships to a WWII submarine, the USS Cobia.
Dow ntow n, the Rahr-West Art M useum displays w orks from its
2,000+ collection of American art, including Georgia O’Keefe, Andy
Warhol and M ary Cassatt (920/683-4501,
w w w.rahrw estartmuseum.org.) For something truly unique, tour
Natural Ovens Bakery, a commercial baker of breads, muffins,
bagels and more (800/558-3535, w w w.naturalovens.com)"
lake-michigan,Marinette,"M arinette County bills itself as the “ Waterfall Capital of
W isconsin.” Only a small corner of the county fronts on
the Bay of Green Bay; the balance of the county sw eeps
north and w est across 1,500 square miles of w oods and
w ater. Criss-crossed w ith miles of w ild rivers and
streams, the county is blessed w ith nine w aterfalls and
excellent w hitew ater rafting and canoeing.
M arinette, the county seat, is the home of the
M arinette County Historical M useum (715/732-
0831). Located on Stephenson Island in the M enominee River, the
museum’s excellent exhibits detail the region’s lumbering and mar-
itime history. Stop at the Wisconsin Welcome Center in M arinette
for local and statew ide travel information (715/732-4333,
w w w.travelw isconsin.com, open seasonally).
Seven miles to the southw est, visit the Peshtigo Fire M useum
(715/582-3244, w w w.peshtigochamber.com). In 1871 a firestorm
destroyed the tow n killing 1,200. When the tow n w as rebuilt, the sur-
vivors preserved this grim history in the museum.
Follow the Peshtigo River northw est through the county about 40
miles to the High Falls and Caldron Falls Flow ages. Along the
south shore of the flow age is W isconsin’s new est state park, the
2,600-acre Governor Tommy G. Thompson Centennial State Park
(715/757-3979, dnr.w i.gov/org/land/parks). The park includes about
6.5 miles of undeveloped shoreline on the flow age, as w ell as several
cold, clear trout streams. Local w hitew ater rafting outfitters include
Kosir’s Rapid Rafts (715/757-3431, w w w.kosirs.com) and Thornton’s
Whitew ater Rafting (715/757-3311, w w w.thorntonsresort.com)"
lake-michigan,Milwaukee,"M ilw aukee County is W isconsin’s most urban; the metro
area includes a dozen suburban communities from
Brow n Deer and Bayside on the north to Oak Creek and
Franklin on the south. It’s a busy place, filled w ith plenty
of interesting attractions.
Art lovers have four w onderful venues to choose
from: the spectacular M ilw aukee Art M useum
(414/224-3200, w w w.mam.org), the Charles Allis Art
M useum (414/278-8295, w w w.cavtmuseums.org), the
Haggerty M useum of Art on the campus of M arquette University
(414/288-1669, w w w.marquette.edu/haggerty), and the Villa Terrace
Decorative Arts M useum (414/271-3656, w w w.cavtmuseums.org).
For fun on the lakeshore, visit Discovery World at Pier
Wisconsin (414/765-9966, w w w.pierw isconsin.org). This fabulous
new 120,000 square foot facility, opened late in 2006, offers interac-
tive exhibits, a Lakefront Amphitheater, and 360-degree view s of Lake
M ichigan and the city, and gives Wisconsin’s S/ V Denis Sullivan a
home.
Tours of the Harley-Davidson factory in Wauw atosa (877/883-
1450, w w w.harley-davidson.com) are a must, as are the M iller
Brew ing Company (800/944-5483, w w w.millerbrew ing.com), the
M ilw aukee County Zoo (414/771-5500, w w w.milw aukeezoo.org),
the M ilw aukee Public M useum (414/278-2700, w w w.mpm.edu),
and the M itchell Park Conservatory Domes (414/649-8126,
w w w.countyparks.com). And if you’re feeling lucky, visit
Potaw atomi Bingo & Casino (800/729-7244, w w w.paysbig.com)."
lake-michigan,Oconto,"Oconto County offers more than 1,000 square miles of
recreational opportunities from Green Bay on the east to
the Nicolet National Forest on the w est. W ith four
mountain bike trail systems, 350 miles of coldw ater trout
streams, and 50 miles of X-C ski trails, the county is ripe
for adventure.
Oconto, on the lakeshore, is the county seat. It is
also the site of Copper Culture State Park, a small day-
use park that preserves an Indian burial ground from the
Copper Culture about 6,000 years ago, the oldest cemetery site in
W isconsin (920/746-5112, dnr.w i.gov/org/land/parks). Near the
entrance to the park, the Copper Culture M useum offers a small,
but intriguing exhibit of copper culture artifacts (920/834-6254).
Nearby, the Beyer Historic Home, built in 1868, has been com-
pletely restored and furnished in 1890’s w ell-to-do Victorian fashion
(920/834-6206, w w w.ocontocountyhistsoc.org). The M useum Annex
contains Copper Culture artifacts, old M ain Street Oconto store
exhibits, carriages and old electric cars.
In the northw estern corner of the county near Lakew ood, the
Holt & Balcolm Logging Camp is the oldest logging camp in North
America, built on this site in 1880 (715/276-7769). Restored and
operated by the M cCauslin Lions Club, it is listed on the National
Register of Historic Places. Nearby, the W isconsin DNR operates the
Lakew ood Rearing Station that produces tens of thousands of rain-
bow and brow n trout fingerlings annually (715/276-6066)."
lake-michigan,Ozaukee,"Ozaukee County is a pleasant transition from subur-
ban M ilw aukee in the south to the open farmlands of
the north. If you like biking, the Interurban Bike Trail
is a great w ay to see the county; thirty miles of paved
trail connecting every major city in the county
(800/403-9898, w w w.interurbantrail.us).
W ith its Art Deco-style lighthouse and picturesque
harbor, Port Washington is a perfect place to launch a
day of sportfishing on Lake M ichigan. The county
courthouse, w ith its gold-plated dome, is an architec-
tural gem. The Port Washington Lightstation M useum, in a
restored 1869 lighthouse, displays the city’s maritime and pioneer his-
tory (262/284-7240, w w w.portw ashingtonhistoricalsociety.org).
Tw elve miles to the north, Harrington Beach State Park offers a
mile-long sandy beach on Lake M ichigan popular w ith sw immers on
hot, summer days (262/285-3015, dnr.w i.gov/org/land/parks).
In south-central Ozaukee County, historic Cedarburg w ith its 150-
year-old limestone buildings, antique shops, and covered bridge is a
step back in time. Shop dozens of specialty stores at Cedar Creek
Settlement (866/626-7005, w w w.cedarcreeksettlement.com) and
taste the vintage at Cedar Creek Winery (800/827-8020,
w w w.cedarcreekw inery.com). The Cedarburg Cultural Center offers
a series of changing art exhibits (262/375-3676, w w w.cedarburgcul-
turalcenter.org)
In nearby Grafton, the kids w ill love The Family Farm w ith its
petting zoo of barnyard animals from tw o-pound chickens to 2,000-
pound Belgian draft horses (262/377-6161, w w w.familyfarm.net)."
lake-michigan,Racine,"Located on Lake M ichigan betw een the Chicago and
M ilw aukee metro areas, Racine County is a delightful
blend of rural heartland and lakefront city.
The City of Racine ow es much to the S.C. Johnson
family and to famed W isconsin architect Frank Lloyd
Wright. The Johnsons built their Johnson Wax empire
in Racine, w hile Frank Lloyd Wright built the company’s
Administrative Building, a marvel of innovative
structure and style for the past seventy years (262/260-
2154, w w w.visitracine.org).
Dow ntow n, the Racine Art M useum (RAM ), opened in 2003,
features one of North America’s most significant collections of con-
temporary crafts (262/638-8300, w w w.ramart.org). Along the lake-
front, the city’s Wind Point Lighthouse, built in 1880, is the tallest
and oldest still in service on the Great Lakes. While not open for
tours, the graceful w hite spire is an unparalleled photo opportunity.
Also on the lakeshore, the Racine Zoological Gardens is a little gem;
more than 300 animals, a petting zoo, and free admission (262/636-
9189, w w w.racinezoo.org). The kids w ill love it.
In w estern Racine County, a trio of family attractions is also per-
fect for kids. In Waterford, both the Bear Den Petting Zoo & Farm
(262/895-6430, w w w.beardenzoo.com) and Green M eadow s Farm
(262/534-2891, w w w.greenmeadow sfarmw i.com) offer farm animals,
petting zoos and pony rides. In nearby Burlington, amaze the kids
w ith gyroscope and yo-yo tricks at the Spinning Top Exploratory
M useum (262/763-3946, w w w.topmuseum.org)."
lake-michigan,Sheboygan,"W ith the lakeshore on its east and the spraw ling,
30,000-acre Kettle M oraine State Forest on its w est,
Sheboygan County has lots to offer.
Sheboygan’s beautiful lakefront beaches are
flanked by a new marina and the new Blue Harbor
Resort featuring a 40,000 square foot indoor w ater-
park (866/701-2583, w w w.blueharborresort.com).
Kids w ill also love the Above & Beyond Children’s
M useum (920/458-4263, w w w.abkids.org) and the
2.5 miles of sandy beach at Kohler-Andrae State
Park (920/451-4080, dnr.w i.gov/org/land/parks). The John M ichael
Kohler Arts Center offers eleven galleries of contemporary art
(920/458-6144, w w w.jmkac.org).
Nearby Kohler is know n for golf and toilets. Kohler is the home of
The American Club w hose facilities include a pair of w orld-class golf
courses, Blackw olf Run and Whistling Straits, host of the 2004
PGA Championship (800/344-2838, w w w.destinationkohler.com). The
city is also the home of the Kohler Company, the w orld’s largest
manufacturer of bathroom fixtures (920/457-3699,
w w w.kohlerco.com). If you w ondered how toilets are made, tours are
offered.
Western Sheboygan County is blessed w ith the glacial terrain of
the Northern Unit of the Kettle M oraine State Forest (262/626-
2116, dnr.w i.gov/org/land/parks). Enjoy hiking, biking, sw imming and
spectacular scenery. Just north of the forest in Greenbush, tour the
1850’s Wade House stagecoach inn and the Wesley Jung Carriage
M useum (866/944-7483, w w w.w isconsinhistory.org)"
southern-savannah,Columbia,"In the heart of south-central Wisconsin, Columbia
County’s most prominent terrain feature is the Wisconsin
River, which forms a portion of its western border. The
river scribes a long, sweeping curve through the county
from Wisconsin Dells in the north to Lake Wisconsin in
the south.
Wisconsin Dells is an epicenter of Wisconsin
tourism. It sells fun – creates and packages fun in a mil-
lion ways. If you like roller coasters, duck rides on the
river, championship golf, waterparks (indoors and out),
bungee jumping, world-class spas, or any other imaginable family
amusement, you’ll love the Dells. (www.wisdells.com, 800/223-3557)
Portage, the county seat, is one of the most historically significant
places in the state. Here, the Wisconsin River nearly meets the Fox
River flowing south from Green Bay. The Portage Canal linked the
two rivers creating a water route from the Great Lakes to the
Mississippi River. In the early 1800s, Fort Winnebago protected this
vital transportation link. The Surgeon’s Quarters of the original fort
can still be toured (www.portagewi.com, 608/742-2949) as well as the
Historic Indian Agency House (www.portagewi.com, 608/742-
6362).
To the south, the MacKenzie Environmental Center near
Poynette offers birding opportunities on their several miles of trails as
well as an observation tower, an exhibit of live Wisconsin wildlife,
museums and a picnic area (www.mackenziecenter.com, 608/635-
8110). On the eastern end of the county, Columbus is renowned for its
Louis Sullivan-designed bank, and the Columbus Antique Mall, one
of the state’s largest (www.columbusantiquemall.com, 920/623-1992)."
southern-savannah,Dane,"With nearly 500,000 people, Dane County is one of
Wisconsin’s most populous areas, second only to
Milwaukee County.
Surrounded by four lakes – Mendota, Monona,
Waubesa and Kegonsa – Madison is both county seat
and state capitol. The magnificent dome of the
Wisconsin State Capitol Building dominates the
central city and is always open to visitors (www.wis-
consin.gov, 608/266-0382). On the Capitol Square the
Wisconsin Veterans Museum exhibits the state’s military history
from the Civil War to Desert Storm (www.museum.dva.state.wi.us,
608/267-1799). Also on the Square, the Wisconsin Historical
Museum, operated by the Wisconsin Historical Society, offers three
floors of state heritage from prehistoric Indian culture to contempo-
rary social issues (www.wisconsinhistory.org/museum, 608/264-6555).
On the other end of the city’s fabled State Street is the University
of Wisconsin. Here you can tour the Chazen Museum of Art
(www.chazen.wisc.edu, 608/263-2246). Visitors to the city will also
enjoy the 1,260-acre UW Arboretum (uwarboretum.org, 608/263-
7888), the Henry Vilas Zoo (www.vilaszoo.org, 608/266-4733), the
Madison Museum of Contemporary Art (www.mmoca.org,
608/257-0158), or the fabulous Thai Pavilion at the Olbrich
Botanical Gardens (www.olbrich.org, 608/246-4550).
To the west, Mt. Horeb has much to offer including the world’s
largest collection of mustard (3,100 varieties) at the Mt. Horeb
Mustard Museum (800/438-6878, www.mustardmuseum.com).
Nearby, Cave of the Mounds offers fascinating subterranean tours
daily (608/437-3038, www.caveofthemounds.com). Little Norway is
a fanciful recreation of an 1856 Norwegian farmstead and Stavkirke,
(608/437-8211, www.littlenorway.com)."
southern-savannah,Dodge,"Any birder worth their binoculars knows that Dodge
County is the home of the Horicon National
Wildlife Refuge – the largest freshwater cattail
marsh in the country. It is one of the continent’s best
bird watching destinations attracting 270 avian
species each year.
The marsh’s 32,000 acres are managed in two
sections: the northern 21,000 acres by the US Fish &
Wildlife Service (www.fws.gov/midwest/horicon,
920/387-2658), and the southern 11,000 acres by the Wisconsin DNR
(dnr.wi.gov), 920/387-7860). Both operate visitor centers with wildlife
programs, observation towers, and interpretive exhibits.
On the south end of the marsh in Horicon, Horicon Marsh Boat
Tours/Blue Heron Landing offers further access to this magnificent
wildlife area via guided tours aboard a 28-foot pontoon boat
(www.horiconmarsh.com, 800/814-4474). On the north end, Marsh
Haven Nature Center just outside of Waupun offers interpretive dis-
plays, exhibits, an observation tower, and hiking/biking trails (marsh-
haven.com, 920/324-5818).
Fifteen miles south of Waupun in Beaver Dam, the Dodge
County Historical Museum exhibits include tributes to local veter-
ans, famous residents (Fred MacMurray), even a 1902 Rambler auto-
mobile (www2.powercom.net/~dchs/Index.htm, 920/887-1266).
Nearby, Nancy’s Notions Retail Store sells sewing notions fea-
tured on PBS’s famous “Sewing with Nancy” program (www.nancys-
notions.com, 800/725-0361)."
southern-savannah,Green,"Green County says “Willkommen” in so many ways.
Amid the county’s rolling hills, Swiss emigrants from
the Canton of Glarus first settled in 1845. Of course,
they named their community New Glarus. Today, New
Glarus bills itself as America’s “Little Switzerland.” The
Swiss heritage here manifests itself in the architecture,
the music, the folk art, the beer and the cheese –
above all, the cheese.
For a craft-brewing bonanza, tour the New Glarus
Brewing Co. and sample their “Spotted Cow,” (www.newglarus-
brewing.com, 608/527-5850). Downtown, the Swiss Historical
Village Museum displays the area’s pioneer life and Swiss heritage in
fourteen historic buildings (www.swisshistoricalvillage.org, 608/527-
2317). Just south of town, New Glarus Woods State Park offers
32 family campsites (www.wiparks.net, 608/527-2335) as well as
direct access to the Sugar River State Trail, a 24-mile railbed biking
trail running south to Brodhead (www.wiparks.net, 608/527-2334).
In southern Green County, Monroe is famous for its charming
downtown that spreads out around its courthouse square. It is equally
famous for its cheese factories that welcome visitors with samples and
retail sales. The history of “Green County Gold” is on display at the
Historic Cheesemaking Center in the restored Monroe Depot
(www.greencounty.org, 608/325-4636). You can also tour the
Minhas Craft Brewery, the oldest continually operated brewery in
the Midwest, producing the award-winning lagers and ales of the
Berghoff label (www.minhasbrewery.com, 608/325-3191)."
southern-savannah,Iowa,"South of Spring Green, Hwy 23 crosses the Wisconsin
River into Iowa County to three of the state’s most pop-
ular attractions. Frank Lloyd Wright’s Taliesin Visitor
Center is the start of tours to the famed architect’s
Wisconsin home (877/588-7900, www.taliesinpreserva-
tion.org). Just to the east on Golf Course Road,
American Players Theatre performs a summer season
of Shakespeare and other classics in an outdoor
amphitheater (608/588-2361,
www.playinthewoods.org). A few miles further south
on Hwy 23 is the House on the Rock, Wisconsin’s most popular sin-
gle attraction – an eclectic collection of fantasy and imagination
(800/947-2799, www.thehouseontherock.com).
Dodgeville, the county seat, preserves its history with its elegant,
but unpretentious county courthouse. Built in 1859, it is the oldest
courthouse still in use in the state. Three miles north of the city,
Governor Dodge State Park is the state’s second largest with 5,000
acres of fun, a pair of man-made lakes, and 270 family campsites
(608/935-2315, www.wiparks.net).
To the south, miners from Cornwall, England were among the first
to settle Mineral Point. Some of their homes are preserved at
Pendarvis, a Wisconsin Historical Society site that offers tours led by
costumed interpreters, (866/944-7483, www.pendarvishistoricsite.org).
More local history is displayed at the Orchard Lawn Museum, a Civil
War-era Italianate mansion (608/987-2884, www.mineralpoint.com)."
southern-savannah,Jefferson,"Smaller than most, Jefferson County is large in fun
things to do and see.
If you like to bike, the Glacial Drumlin State Trail
transects Jefferson County east-to-west (920/648-8774,
www.wiparks.net). This 52-mile railbed trail runs from
Waukesha to Cottage Grove, a Madison suburb. Nearly
half the trail is in Jefferson County.
In western Jefferson County, Lake Mills straddles the
Glacial Drumlin State Trail. This charming Victorian com-
munity also graces the shores of Rock Lake. Nearby,
Aztalan State Park is one of the most important archeological sites
in the state – a stockaded village of the Middle Mississippian Indian
culture (920/648-8774, www.wiparks.net). The Aztalan Museum,
near the park, offers a pioneer village museum with log and brick
churches, 1840’s cabins and a school (920/648-4632).
To the east, at the intersection of Hwy 26 and I-94, Johnson
Creek Premium Outlets is a popular destination for bargain shop-
pers (920/699-4111, www.premiumoutlets.com/johnsoncreek). The
mall houses more than 60 name brand outlet stores.
To the south, Fort Atkinson was once the home of Wisconsin gov-
ernor W.D. Hoard, considered the father of dairy farming in the state.
His former home is now the Hoard Historical Museum & National
Dairy Shrine (920/563-7769, www.hoardmuseum.org). Today, the
city is best known as the home of the popular Fireside Dinner
Theatre, staging five professional musicals each year (800/477-9505,
www.firesidetheatre.com)"
southern-savannah,Lafayette,"Lafayette County lies within the unglaciated area of
Wisconsin in the driftless region bordering the State of
Illinois. With an area of 643 square miles, it has a popu-
lation of just over 16,000.
The first European settlers came here in 1824 to
work the area’s many surface lead mines. Lafayette
County was formed in 1847 when the Legislature divid-
ed Iowa County into two separate counties. The
Southern portion became Lafayette County, named after
Marquis de Lafayette, hero of the Revolutionary War.
While agriculture is the county’s leading enterprise, recreation and
tourism are growing. The Cheese Country Trail and other club trails
welcome horse, ATV and snowmobile riders. The eastern half of the
county includes some excellent cold-water trout streams.
Yellowstone Lake State Park in the northeastern corner of the
county is a popular destination with 128 family campsites, good fish-
ing and a nice swimming beach (608/523-4427, www.wiparks.net).
In the northwest corner of the county, tiny Belmont was the
state’s First Capitol for one session of the territorial legislature in
1836 (608/987-2122, www.firstcapitol.org). The site’s two modest
frame buildings once housed the legislature and the supreme court.
To the south, tour the Badger Mine & Museum in Shullsburg where
you can descend 51 steps into a lead mine hand-dug in 1827
(608/965-4424, www.shullsburgwisconsin.org)."
southern-savannah,Richland,"Bordered on the south by the Wisconsin River, Richland
County is a maze of ridgelines and valleys. This is the
driftless area of Wisconsin – a corner of the state not
bulldozed by the last great Wisconsin glacier.
Creeks and streams and rivers drain the valleys of
Richland County. Most are spring-fed, cold-water
streams that hold brown and brook trout. Their names
are as colorful as their fish: Gault Hollow Creek, John
Hill Creek, Dieter Hollow Creek and Fancy Creek to
name but a few of dozens. This is fly-fishing heaven where you can
literally fish a different creek every week of the season.
Richland Center is the county seat. The Starlite 14 Drive-In
Theater is one of only a few outdoor theaters left in Wisconsin (608-
647-3669). Downtown, the Valley Antique Mall offers three floors
of antiques and collectibles, displayed by more than 30 dealers
(608/647-3793). Also downtown, the Court Street Commercial
Historic District encompasses 69 buildings in the ten-block area
around Court Street.
Krouskop Park, off Hwy 14 on the city’s northwest side, includes
an excellent 9-hole disc golf course with some tightly wooded holes
and slight elevation. On the Pine River Recreation Trail, you can
take a lazy bike ride up a lazy river – 15.8 miles from Richland Center
to Lone Rock on a gentle railbed trail (800/422-1318, www.richland-
chamber.com). Along the way you’ll cross 15 bridges that span the
meandering Pine and its tributaries. One bridge is a whopping 241
feet long. Town Parks in Gotham and Lone Rock offer pleasant rest
stops."
southern-savannah,Rock,"The Rock River is the single, dominant terrain feature of
Rock County. It flows south out of Lake Koshkonong to
the Illinois border, bisecting the county and its two largest
cities, Janesville and Beloit.
With 2,000 acres of scenic parkland along the river,
Janesville is truly “Wisconsin’s Park Place.” A visitor
favorite is the Rotary Gardens, a 20-acre internationally
themed botanical garden (608/752-3885, www.rotarygar-
dens.org). Nearly twenty percent of Wisconsin’s buildings
listed on the National Register of Historic Places can be
found in Janesville, including the Lincoln-Tallman House, a 26-room
Italianate-style mansion where President Lincoln once slept (800/577-
1859, www.rchs.us). On Wednesday and Sunday evenings in summer,
the city’s Rock Aqua Jays, perennial national champions, put on a ter-
rific waterski show at Traxler Park (800/487-2757,
www.rockaquajays.org).
Five miles northeast of Janesville, visit the Milton House Museum
(608/868-7772, www.miltonhouse.org). This 1844 stagecoach inn was
once a station on the Underground Railroad, complete with a secret
tunnel.
In southern Rock County, Beloit is home to Beloit College and its
Logan Museum of Anthropology, which houses 160,000 archaeo-
logical objects from 122 countries (608/363-2677, www.beloitcol-
lege.edu/logan). The city’s Angel Museum displays the largest private-
ly held angel collection in the world (608/362-9099, www.angelmuse-
um.com). West of town, the Beckman Mill is one of the few working
gristmills left in the state (608/362-4703, www.beckmanmill.org)."
